title,authors,year,venue,doi,pdfUrl,landingUrl,abstract,source,id
Transformers: State-of-the-Art Natural Language Processing,Thomas Wolf; Lysandre Debut; Victor Sanh; Julien Chaumond; Clément Delangue; Anthony Moi; Pierric Cistac; Tim Rault; Rémi Louf; Morgan Funtowicz; Joe Davison; Sam Shleifer; Patrick von Platen; Clara Ma; Yacine Jernite; Julien Plu; Canwen Xu; Teven Le Scao; Sylvain Gugger; Mariama Drame; Quentin Lhoest; Alexander M. Rush,2020,,https://doi.org/10.18653/v1/2020.emnlp-demos.6,https://www.aclweb.org/anthology/2020.emnlp-demos.6.pdf,https://doi.org/https://doi.org/10.18653/v1/2020.emnlp-demos.6,,openalex,https://openalex.org/W2979826702
Understanding and evolving the Rust programming language,Ralf Jung,2020,Publications of the UdS (Saarland University),https://doi.org/10.22028/d291-31946,https://doi.org/10.22028/d291-31946,https://doi.org/https://doi.org/10.22028/d291-31946,,openalex,https://openalex.org/W3125156610
Design of a DSL for Converting Rust Programming Language into RTL,Keisuke Takano; Tetsuya Oda; Masaki Kohata,2020,Lecture notes on data engineering and communications technologies,https://doi.org/10.1007/978-3-030-39746-3_36,,https://doi.org/https://doi.org/10.1007/978-3-030-39746-3_36,,openalex,https://openalex.org/W3003732552
The rust language,Nicholas D. Matsakis; Felix S. Klock,2014,,https://doi.org/10.1145/2663171.2663188,,https://doi.org/https://doi.org/10.1145/2663171.2663188,,openalex,https://openalex.org/W2013892605
Rust (langage de programmation),Laurent BLOCH,2022,Technologies logicielles Architectures des systèmes,10.51257/a-v2-h3098,,https://doi.org/10.51257/a-v2-h3098,,crossref,10.51257/a-v2-h3098
"Financial, Statistical Analysis and Investment using Rust Language Programming",Michel Guirguis,2025,,10.2139/ssrn.5485126,,https://doi.org/10.2139/ssrn.5485126,,crossref,10.2139/ssrn.5485126
Rust,Ray Toal; Sage Strieker; Marco Berardini,2024,Programming Language Explorations,10.1201/9781003222354-15,,https://doi.org/10.1201/9781003222354-15,,crossref,10.1201/9781003222354-15
Rust – The Programming Language for Every Industry,CARTAS COSMIN,2019,ECONOMY INFORMATICS JOURNAL,10.12948/ei2019.01.05,,https://doi.org/10.12948/ei2019.01.05,,crossref,10.12948/ei2019.01.05
Leveraging the Rust Programming Language for Space Applications,Robin Müller; Paul Nehlich; Sabine Klinkner,2024,2024 IEEE Space Computing Conference (SCC),10.1109/scc61854.2024.00011,,https://doi.org/10.1109/scc61854.2024.00011,,crossref,10.1109/scc61854.2024.00011
AMEISE CORE REENGINEERED USING THE RUST PROGRAMMING LANGUAGE,Štefan Puci; Csaba Szabó; Matúš Semančík; Šimon Porvazník,2024,ICERI Proceedings,10.21125/iceri.2024.1083,,https://doi.org/10.21125/iceri.2024.1083,,crossref,10.21125/iceri.2024.1083
"&lt;p&gt;&lt;span&gt;Financial, Statistical Analysis and Investment Using Rust Language Programming&lt;/span&gt;&lt;/p&gt;",Michel Guirguis,2025,,10.2139/ssrn.5487388,,https://doi.org/10.2139/ssrn.5487388,,crossref,10.2139/ssrn.5487388
"Rust for Automotive – A Modern, Memory-Safe and Secure Programming Language",M. Cupelli,2023,ELIV 2023,10.51202/9783181024232-533,,https://doi.org/10.51202/9783181024232-533,,crossref,10.51202/9783181024232-533
